Category,Message
ham,"Bro, what time is the lab tomorrow?"
spam,"Instant loan up to 50,000. No documents needed. Apply now: http://offer-today.xyz"
spam,"Your ATM card is blocked. Update details here: 50,000"
ham,Where are you now?
ham,Did you submit the assignment?
ham,Where are you now?
ham,"Bro, what time is the lab tomorrow?"
ham,"Hey, I'll reach by 4 PM. Wait near library."
ham,Did you submit the assignment?
spam,"URGENT! Your bank account will be blocked. Verify now at 50,000"
spam,"Your KYC has expired. Update immediately at 10,000"
ham,Where are you now?
ham,"Bro, what time is the lab tomorrow?"
ham,Don't forget our class at 5 tomorrow.
ham,Did you submit the assignment?
spam,"Your electricity bill is pending. Pay now: 10,000"
spam,"Your electricity bill is pending. Pay now: 10,000"
spam,"Win a brand new smartphone! Register here: 10,000"
ham,I'll call you in 9 minutes.
spam,"Claim your cashback of 10,000 rupees. Link: http://click-free-prize.com"
spam,"Claim your cashback of 50,000 rupees. Link: http://gift-claim-center.net"
ham,Are you coming to college today?
spam,"Earn 1,00,000 per day working from home. Register at http://bit.ly/win-now"
ham,Lunch at canteen at 6?
ham,Happy birthday! Have a great day 🎉
ham,Where are you now?
spam,"Exclusive offer! Get flat 80% discount: 10,000"
ham,Send me the PPT for today's seminar.
ham,Happy birthday! Have a great day 🎉
ham,Don't forget our class at 4 tomorrow.
ham,Call me when you're free.
ham,I'll call you in 6 minutes.
ham,Don't forget our class at 10 tomorrow.
spam,"Congratulations! You have won 1,00,000 rupees. Click here: http://gift-claim-center.net"
spam,"Claim your cashback of 10,000 rupees. Link: http://gift-claim-center.net"
ham,Did you submit the assignment?
ham,I sent you the notes. Check WhatsApp.
spam,"Your KYC has expired. Update immediately at 10,000"
ham,Lunch at canteen at 10?
ham,Happy birthday! Have a great day 🎉
ham,Don't forget our class at 10 tomorrow.
ham,I'll call you in 4 minutes.
ham,"I'm on the way, will reach in 9 minutes."
ham,Don't forget our class at 8 tomorrow.
spam,"Your KYC has expired. Update immediately at 10,000"
spam,"Your KYC has expired. Update immediately at 50,000"
spam,"Earn 10,000 per day working from home. Register at http://gift-claim-center.net"
spam,"Your ATM card is blocked. Update details here: 10,000"
spam,"Earn 50,000 per day working from home. Register at http://offer-today.xyz"
ham,I'll call you in 9 minutes.
spam,"You are selected for our lucky draw. Amount: 10,000. Contact: http://kyc-update-online.in"
ham,Send me the PPT for today's seminar.
ham,"Bro, what time is the lab tomorrow?"
spam,"FREE gift voucher worth 50,000. Reply YES to claim."
ham,Happy birthday! Have a great day 🎉
spam,"Recharge now and get 5GB free data. Limited offer: 5,000"
ham,Can you share today's attendance code?
ham,"Bro, what time is the lab tomorrow?"
spam,"Congratulations! You have won 10,000 rupees. Click here: http://kyc-update-online.in"
spam,"FREE gift voucher worth 50,000. Reply YES to claim."
spam,"You are selected for our lucky draw. Amount: 10,000. Contact: http://bit.ly/win-now"
ham,Happy birthday! Have a great day 🎉
ham,Meeting is at 9 in room 305.
spam,"Get 1 year FREE Netflix. Activate here: 50,000"
ham,Did you submit the assignment?
spam,"Instant loan up to 50,000. No documents needed. Apply now: http://secure-verify.net"
spam,"Instant loan up to 1,00,000. No documents needed. Apply now: http://kyc-update-online.in"
spam,"Earn 50,000 per day working from home. Register at http://kyc-update-online.in"
ham,Are you coming to college today?
ham,Call me when you're free.
spam,"Your parcel is stuck. Pay delivery fee here: 10,000"
spam,"Congratulations! You have won 50,000 rupees. Click here: http://kyc-update-online.in"
spam,"You are selected for our lucky draw. Amount: 50,000. Contact: http://bit.ly/win-now"
spam,"Get 1 year FREE Netflix. Activate here: 10,000"
ham,"Bro, what time is the lab tomorrow?"
ham,Don't forget our class at 9 tomorrow.
ham,I sent you the notes. Check WhatsApp.
ham,I sent you the notes. Check WhatsApp.
spam,"Your parcel is stuck. Pay delivery fee here: 10,000"
spam,"URGENT! Your bank account will be blocked. Verify now at 50,000"
ham,Where are you now?
ham,Lunch at canteen at 9?
spam,"Win a brand new smartphone! Register here: 50,000"
spam,"Your electricity bill is pending. Pay now: 50,000"
ham,"I'm on the way, will reach in 12 minutes."
ham,Send me the PPT for today's seminar.
spam,"Exclusive offer! Get flat 80% discount: 10,000"
spam,"URGENT! Your bank account will be blocked. Verify now at 10,000"
spam,"Earn 50,000 per day working from home. Register at http://gift-claim-center.net"
spam,"Exclusive offer! Get flat 80% discount: 5,000"
spam,"Earn 1,00,000 per day working from home. Register at http://gift-claim-center.net"
ham,Can you share today's attendance code?
ham,Did you submit the assignment?
spam,"You are selected for our lucky draw. Amount: 10,000. Contact: http://offer-today.xyz"
ham,"Bro, what time is the lab tomorrow?"
spam,"URGENT! Your bank account will be blocked. Verify now at 5,000"
spam,"Win a brand new smartphone! Register here: 10,000"
spam,"Your parcel is stuck. Pay delivery fee here: 5,000"
ham,I sent you the notes. Check WhatsApp.
ham,Meeting is at 12 in room C3.
spam,"You are selected for our lucky draw. Amount: 50,000. Contact: http://offer-today.xyz"
ham,"Hey, I'll reach by 3 PM. Wait near 201."
ham,Meeting is at 4 in room 305.
spam,"Your KYC has expired. Update immediately at 50,000"
spam,"Claim your cashback of 10,000 rupees. Link: http://secure-verify.net"
spam,"Your electricity bill is pending. Pay now: 50,000"
ham,Are you coming to college today?
spam,"Exclusive offer! Get flat 80% discount: 10,000"
spam,"Earn 50,000 per day working from home. Register at http://kyc-update-online.in"
spam,"Recharge now and get 5GB free data. Limited offer: 10,000"
spam,"Recharge now and get 5GB free data. Limited offer: 50,000"
ham,I sent you the notes. Check WhatsApp.
ham,I'll call you in 11 minutes.
ham,I sent you the notes. Check WhatsApp.
spam,"Your KYC has expired. Update immediately at 5,000"
spam,"You are selected for our lucky draw. Amount: 1,00,000. Contact: http://gift-claim-center.net"
ham,Happy birthday! Have a great day 🎉
spam,"Instant loan up to 10,000. No documents needed. Apply now: http://click-free-prize.com"
spam,"Earn 1,00,000 per day working from home. Register at http://offer-today.xyz"
ham,Did you submit the assignment?
ham,Lunch at canteen at 6?
spam,"Your ATM card is blocked. Update details here: 5,000"
ham,Lunch at canteen at 12?
ham,Call me when you're free.
spam,"Get 1 year FREE Netflix. Activate here: 10,000"
ham,Meeting is at 12 in room 305.
ham,Did you submit the assignment?
ham,Don't forget our class at 3 tomorrow.
ham,Lunch at canteen at 11?
ham,Call me when you're free.
ham,I sent you the notes. Check WhatsApp.
ham,I'll call you in 6 minutes.
spam,"Recharge now and get 5GB free data. Limited offer: 10,000"
ham,"I'm on the way, will reach in 4 minutes."
ham,Send me the PPT for today's seminar.
ham,I sent you the notes. Check WhatsApp.
spam,"Instant loan up to 1,00,000. No documents needed. Apply now: http://gift-claim-center.net"
ham,Send me the PPT for today's seminar.
ham,Happy birthday! Have a great day 🎉
spam,"FREE gift voucher worth 10,000. Reply YES to claim."
spam,"Your parcel is stuck. Pay delivery fee here: 10,000"
ham,Can you share today's attendance code?
spam,"Win a brand new smartphone! Register here: 10,000"
spam,"Your ATM card is blocked. Update details here: 5,000"
spam,"Exclusive offer! Get flat 80% discount: 50,000"
spam,"Claim your cashback of 50,000 rupees. Link: http://bit.ly/win-now"
spam,"Your electricity bill is pending. Pay now: 5,000"
ham,"Bro, what time is the lab tomorrow?"
ham,I'll call you in 10 minutes.
ham,Don't forget our class at 2 tomorrow.
spam,"Exclusive offer! Get flat 80% discount: 10,000"
ham,"I'm on the way, will reach in 2 minutes."
ham,"Hey, I'll reach by 1 PM. Wait near library."
ham,"Bro, what time is the lab tomorrow?"
spam,"Earn 10,000 per day working from home. Register at http://kyc-update-online.in"
ham,Call me when you're free.
spam,"URGENT! Your bank account will be blocked. Verify now at 10,000"
ham,"Bro, what time is the lab tomorrow?"
spam,"You are selected for our lucky draw. Amount: 1,00,000. Contact: http://offer-today.xyz"
spam,"Win a brand new smartphone! Register here: 5,000"
spam,"Recharge now and get 5GB free data. Limited offer: 5,000"
spam,"Your parcel is stuck. Pay delivery fee here: 50,000"
spam,"Your parcel is stuck. Pay delivery fee here: 5,000"
spam,"Congratulations! You have won 50,000 rupees. Click here: http://gift-claim-center.net"
ham,Where are you now?
ham,"I'm on the way, will reach in 11 minutes."
spam,"Your parcel is stuck. Pay delivery fee here: 50,000"
ham,"I'm on the way, will reach in 6 minutes."
ham,I sent you the notes. Check WhatsApp.
spam,"Congratulations! You have won 1,00,000 rupees. Click here: http://gift-claim-center.net"
ham,Meeting is at 1 in room canteen.
spam,"Congratulations! You have won 50,000 rupees. Click here: http://secure-verify.net"
spam,"FREE gift voucher worth 10,000. Reply YES to claim."
spam,"Your electricity bill is pending. Pay now: 50,000"
ham,"Bro, what time is the lab tomorrow?"
spam,"Get 1 year FREE Netflix. Activate here: 5,000"
spam,"Get 1 year FREE Netflix. Activate here: 5,000"
ham,Call me when you're free.
ham,I'll call you in 11 minutes.
ham,"Bro, what time is the lab tomorrow?"
ham,I sent you the notes. Check WhatsApp.
spam,"Claim your cashback of 10,000 rupees. Link: http://secure-verify.net"
ham,Call me when you're free.
spam,"Earn 50,000 per day working from home. Register at http://secure-verify.net"
ham,"Hey, I'll reach by 11 PM. Wait near 201."
spam,"Your electricity bill is pending. Pay now: 5,000"
spam,"Your parcel is stuck. Pay delivery fee here: 5,000"
ham,Can you share today's attendance code?
ham,Lunch at canteen at 9?
ham,"Bro, what time is the lab tomorrow?"
ham,"Hey, I'll reach by 6 PM. Wait near canteen."
spam,"Win a brand new smartphone! Register here: 10,000"
spam,"Get 1 year FREE Netflix. Activate here: 10,000"
spam,"Your electricity bill is pending. Pay now: 10,000"
spam,"Instant loan up to 10,000. No documents needed. Apply now: http://secure-verify.net"
ham,"Hey, I'll reach by 3 PM. Wait near canteen."
spam,"Your parcel is stuck. Pay delivery fee here: 50,000"
spam,"Get 1 year FREE Netflix. Activate here: 10,000"
ham,Send me the PPT for today's seminar.
spam,"Your ATM card is blocked. Update details here: 50,000"
ham,Did you submit the assignment?
spam,"Instant loan up to 50,000. No documents needed. Apply now: http://offer-today.xyz"
ham,Call me when you're free.
spam,"URGENT! Your bank account will be blocked. Verify now at 5,000"
spam,"Instant loan up to 1,00,000. No documents needed. Apply now: http://bit.ly/win-now"
ham,"I'm on the way, will reach in 12 minutes."
spam,"FREE gift voucher worth 10,000. Reply YES to claim."
ham,Meeting is at 3 in room hostel.
ham,Are you coming to college today?
ham,"I'm on the way, will reach in 3 minutes."
ham,Are you coming to college today?
ham,Meeting is at 10 in room lab.
ham,"Bro, what time is the lab tomorrow?"
ham,Are you coming to college today?
spam,"Win a brand new smartphone! Register here: 5,000"
spam,"Your ATM card is blocked. Update details here: 10,000"
ham,Did you submit the assignment?
ham,Send me the PPT for today's seminar.
ham,Call me when you're free.
spam,"Your parcel is stuck. Pay delivery fee here: 10,000"
spam,"FREE gift voucher worth 10,000. Reply YES to claim."
spam,"Get 1 year FREE Netflix. Activate here: 10,000"
ham,Lunch at canteen at 2?
ham,Where are you now?
ham,Call me when you're free.
spam,"Exclusive offer! Get flat 80% discount: 5,000"
ham,Send me the PPT for today's seminar.
ham,Can you share today's attendance code?
spam,"Your electricity bill is pending. Pay now: 5,000"
ham,"Hey, I'll reach by 10 PM. Wait near 101."
ham,Meeting is at 5 in room C3.
ham,Did you submit the assignment?
ham,Call me when you're free.
spam,"Your KYC has expired. Update immediately at 50,000"
spam,"Win a brand new smartphone! Register here: 5,000"
spam,"Instant loan up to 1,00,000. No documents needed. Apply now: http://offer-today.xyz"
ham,Happy birthday! Have a great day 🎉
ham,Call me when you're free.
spam,"URGENT! Your bank account will be blocked. Verify now at 5,000"
ham,Send me the PPT for today's seminar.
spam,"Recharge now and get 5GB free data. Limited offer: 50,000"
spam,"Claim your cashback of 10,000 rupees. Link: http://gift-claim-center.net"
spam,"Your parcel is stuck. Pay delivery fee here: 10,000"
ham,"Bro, what time is the lab tomorrow?"
ham,I sent you the notes. Check WhatsApp.
ham,Send me the PPT for today's seminar.
ham,I sent you the notes. Check WhatsApp.
spam,"FREE gift voucher worth 5,000. Reply YES to claim."
spam,"Recharge now and get 5GB free data. Limited offer: 10,000"
ham,Send me the PPT for today's seminar.
spam,"You are selected for our lucky draw. Amount: 1,00,000. Contact: http://gift-claim-center.net"
ham,"I'm on the way, will reach in 6 minutes."
spam,"You are selected for our lucky draw. Amount: 1,00,000. Contact: http://kyc-update-online.in"
spam,"FREE gift voucher worth 10,000. Reply YES to claim."
ham,Meeting is at 12 in room hostel.
spam,"Exclusive offer! Get flat 80% discount: 5,000"
spam,"Win a brand new smartphone! Register here: 50,000"
spam,"URGENT! Your bank account will be blocked. Verify now at 50,000"
spam,"Congratulations! You have won 50,000 rupees. Click here: http://kyc-update-online.in"
spam,"Your electricity bill is pending. Pay now: 50,000"
spam,"Recharge now and get 5GB free data. Limited offer: 5,000"
spam,"Your KYC has expired. Update immediately at 5,000"
ham,I'll call you in 7 minutes.
ham,Send me the PPT for today's seminar.
ham,Don't forget our class at 9 tomorrow.
spam,"Recharge now and get 5GB free data. Limited offer: 10,000"
spam,"Instant loan up to 10,000. No documents needed. Apply now: http://secure-verify.net"
spam,"Congratulations! You have won 1,00,000 rupees. Click here: http://bit.ly/win-now"
spam,"Congratulations! You have won 1,00,000 rupees. Click here: http://bit.ly/win-now"
spam,"Your parcel is stuck. Pay delivery fee here: 10,000"
ham,Are you coming to college today?
spam,"Exclusive offer! Get flat 80% discount: 5,000"
ham,Where are you now?
ham,I sent you the notes. Check WhatsApp.
spam,"Your ATM card is blocked. Update details here: 5,000"
spam,"Win a brand new smartphone! Register here: 5,000"
ham,Can you share today's attendance code?
spam,"Your electricity bill is pending. Pay now: 50,000"
ham,I'll call you in 9 minutes.
ham,Lunch at canteen at 1?
spam,"Your ATM card is blocked. Update details here: 50,000"
spam,"Your electricity bill is pending. Pay now: 10,000"
spam,"Congratulations! You have won 50,000 rupees. Click here: http://gift-claim-center.net"
ham,I sent you the notes. Check WhatsApp.
ham,Don't forget our class at 8 tomorrow.
spam,"Your ATM card is blocked. Update details here: 50,000"
spam,"Congratulations! You have won 10,000 rupees. Click here: http://bit.ly/win-now"
ham,I'll call you in 10 minutes.
ham,I sent you the notes. Check WhatsApp.
ham,Are you coming to college today?
spam,"Recharge now and get 5GB free data. Limited offer: 5,000"
spam,"Your ATM card is blocked. Update details here: 10,000"
ham,Meeting is at 8 in room college gate.
ham,"Bro, what time is the lab tomorrow?"
spam,"Exclusive offer! Get flat 80% discount: 10,000"
ham,Can you share today's attendance code?
ham,"Bro, what time is the lab tomorrow?"
ham,Call me when you're free.
ham,Are you coming to college today?
ham,Where are you now?
ham,Lunch at canteen at 1?
spam,"You are selected for our lucky draw. Amount: 10,000. Contact: http://secure-verify.net"
ham,"Bro, what time is the lab tomorrow?"
ham,I sent you the notes. Check WhatsApp.
ham,I'll call you in 4 minutes.
ham,Send me the PPT for today's seminar.
spam,"URGENT! Your bank account will be blocked. Verify now at 5,000"
spam,"Get 1 year FREE Netflix. Activate here: 10,000"
ham,Are you coming to college today?
ham,Happy birthday! Have a great day 🎉
ham,Where are you now?
spam,"Your KYC has expired. Update immediately at 50,000"
spam,"Earn 50,000 per day working from home. Register at http://gift-claim-center.net"
spam,"Get 1 year FREE Netflix. Activate here: 5,000"
spam,"Your electricity bill is pending. Pay now: 5,000"
spam,"Instant loan up to 1,00,000. No documents needed. Apply now: http://offer-today.xyz"
ham,Send me the PPT for today's seminar.
ham,Don't forget our class at 10 tomorrow.
spam,"Get 1 year FREE Netflix. Activate here: 5,000"
ham,Send me the PPT for today's seminar.
ham,I sent you the notes. Check WhatsApp.
spam,"Your ATM card is blocked. Update details here: 50,000"
spam,"Exclusive offer! Get flat 80% discount: 10,000"
spam,"Win a brand new smartphone! Register here: 10,000"
ham,I sent you the notes. Check WhatsApp.
spam,"Congratulations! You have won 1,00,000 rupees. Click here: http://gift-claim-center.net"
ham,Did you submit the assignment?
spam,"Instant loan up to 1,00,000. No documents needed. Apply now: http://secure-verify.net"
spam,"Instant loan up to 50,000. No documents needed. Apply now: http://kyc-update-online.in"
ham,Call me when you're free.
ham,Where are you now?
ham,Don't forget our class at 12 tomorrow.
ham,Send me the PPT for today's seminar.
ham,Where are you now?
spam,"Earn 10,000 per day working from home. Register at http://click-free-prize.com"
ham,Call me when you're free.
spam,"Recharge now and get 5GB free data. Limited offer: 5,000"
ham,"I'm on the way, will reach in 4 minutes."
ham,Happy birthday! Have a great day 🎉
spam,"Earn 50,000 per day working from home. Register at http://gift-claim-center.net"
ham,I sent you the notes. Check WhatsApp.
spam,"Congratulations! You have won 1,00,000 rupees. Click here: http://offer-today.xyz"
spam,"You are selected for our lucky draw. Amount: 50,000. Contact: http://kyc-update-online.in"
spam,"Your electricity bill is pending. Pay now: 5,000"
ham,Did you submit the assignment?
spam,"Your ATM card is blocked. Update details here: 5,000"
spam,"Exclusive offer! Get flat 80% discount: 50,000"
spam,"Earn 1,00,000 per day working from home. Register at http://secure-verify.net"
spam,"Claim your cashback of 50,000 rupees. Link: http://gift-claim-center.net"
spam,"Exclusive offer! Get flat 80% discount: 5,000"
spam,"Your ATM card is blocked. Update details here: 10,000"
ham,"Bro, what time is the lab tomorrow?"
ham,"I'm on the way, will reach in 2 minutes."
spam,"Win a brand new smartphone! Register here: 10,000"
spam,"Your KYC has expired. Update immediately at 5,000"
spam,"Your ATM card is blocked. Update details here: 5,000"
spam,"Your ATM card is blocked. Update details here: 50,000"
ham,Are you coming to college today?
ham,Meeting is at 1 in room 101.
ham,Where are you now?
ham,Call me when you're free.
spam,"You are selected for our lucky draw. Amount: 50,000. Contact: http://bit.ly/win-now"
ham,Send me the PPT for today's seminar.
spam,"Your KYC has expired. Update immediately at 50,000"
spam,"Your electricity bill is pending. Pay now: 50,000"
ham,I'll call you in 10 minutes.
spam,"URGENT! Your bank account will be blocked. Verify now at 50,000"
ham,Can you share today's attendance code?
spam,"FREE gift voucher worth 50,000. Reply YES to claim."
spam,"Claim your cashback of 10,000 rupees. Link: http://offer-today.xyz"
spam,"Recharge now and get 5GB free data. Limited offer: 10,000"
ham,Send me the PPT for today's seminar.
spam,"Claim your cashback of 1,00,000 rupees. Link: http://secure-verify.net"
ham,Where are you now?
spam,"Claim your cashback of 1,00,000 rupees. Link: http://click-free-prize.com"
ham,Don't forget our class at 2 tomorrow.
spam,"Win a brand new smartphone! Register here: 10,000"
spam,"Win a brand new smartphone! Register here: 5,000"
spam,"You are selected for our lucky draw. Amount: 50,000. Contact: http://secure-verify.net"
spam,"Exclusive offer! Get flat 80% discount: 10,000"
ham,Happy birthday! Have a great day 🎉
ham,Where are you now?
ham,Don't forget our class at 11 tomorrow.
spam,"Win a brand new smartphone! Register here: 5,000"
spam,"URGENT! Your bank account will be blocked. Verify now at 10,000"
spam,"Congratulations! You have won 1,00,000 rupees. Click here: http://click-free-prize.com"
ham,Are you coming to college today?
spam,"Your parcel is stuck. Pay delivery fee here: 10,000"
ham,"I'm on the way, will reach in 8 minutes."
spam,"Earn 10,000 per day working from home. Register at http://kyc-update-online.in"
ham,Send me the PPT for today's seminar.
spam,"Get 1 year FREE Netflix. Activate here: 50,000"
spam,"Get 1 year FREE Netflix. Activate here: 10,000"
ham,I'll call you in 12 minutes.
spam,"Instant loan up to 50,000. No documents needed. Apply now: http://offer-today.xyz"
ham,Where are you now?
spam,"FREE gift voucher worth 5,000. Reply YES to claim."
spam,"You are selected for our lucky draw. Amount: 50,000. Contact: http://secure-verify.net"
spam,"Instant loan up to 10,000. No documents needed. Apply now: http://kyc-update-online.in"
spam,"Your KYC has expired. Update immediately at 5,000"
ham,"Hey, I'll reach by 8 PM. Wait near hostel."
ham,I sent you the notes. Check WhatsApp.
ham,Where are you now?
spam,"Exclusive offer! Get flat 80% discount: 5,000"
spam,"Earn 50,000 per day working from home. Register at http://offer-today.xyz"
spam,"Exclusive offer! Get flat 80% discount: 5,000"
ham,Did you submit the assignment?
ham,"I'm on the way, will reach in 9 minutes."
spam,"Your ATM card is blocked. Update details here: 50,000"
spam,"Win a brand new smartphone! Register here: 50,000"
spam,"Instant loan up to 50,000. No documents needed. Apply now: http://gift-claim-center.net"
ham,Meeting is at 10 in room canteen.
ham,Are you coming to college today?
ham,Lunch at canteen at 9?
spam,"Claim your cashback of 50,000 rupees. Link: http://secure-verify.net"
ham,Lunch at canteen at 10?
ham,"I'm on the way, will reach in 5 minutes."
ham,Did you submit the assignment?
ham,"I'm on the way, will reach in 10 minutes."
spam,"Your electricity bill is pending. Pay now: 5,000"
ham,Where are you now?
spam,"Your ATM card is blocked. Update details here: 5,000"
spam,"Your KYC has expired. Update immediately at 10,000"
ham,"I'm on the way, will reach in 11 minutes."
spam,"Exclusive offer! Get flat 80% discount: 10,000"
ham,I sent you the notes. Check WhatsApp.
ham,"Bro, what time is the lab tomorrow?"
ham,I'll call you in 4 minutes.
spam,"Recharge now and get 5GB free data. Limited offer: 10,000"
ham,I sent you the notes. Check WhatsApp.
spam,"Claim your cashback of 10,000 rupees. Link: http://kyc-update-online.in"
ham,I'll call you in 11 minutes.
ham,"Hey, I'll reach by 9 PM. Wait near C3."
ham,Send me the PPT for today's seminar.
spam,"Claim your cashback of 10,000 rupees. Link: http://bit.ly/win-now"
spam,"Earn 1,00,000 per day working from home. Register at http://kyc-update-online.in"
spam,"Your KYC has expired. Update immediately at 5,000"
ham,Meeting is at 11 in room library.
ham,Happy birthday! Have a great day 🎉
ham,Lunch at canteen at 5?
spam,"URGENT! Your bank account will be blocked. Verify now at 50,000"
spam,"Congratulations! You have won 50,000 rupees. Click here: http://gift-claim-center.net"
ham,"I'm on the way, will reach in 5 minutes."
spam,"Your KYC has expired. Update immediately at 10,000"
spam,"Claim your cashback of 1,00,000 rupees. Link: http://kyc-update-online.in"
spam,"Instant loan up to 1,00,000. No documents needed. Apply now: http://secure-verify.net"
ham,Call me when you're free.
ham,I sent you the notes. Check WhatsApp.
spam,"Recharge now and get 5GB free data. Limited offer: 50,000"
spam,"Your parcel is stuck. Pay delivery fee here: 10,000"
ham,"I'm on the way, will reach in 4 minutes."
ham,Send me the PPT for today's seminar.
ham,I sent you the notes. Check WhatsApp.
spam,"Exclusive offer! Get flat 80% discount: 5,000"
ham,Happy birthday! Have a great day 🎉
spam,"Recharge now and get 5GB free data. Limited offer: 5,000"
ham,Are you coming to college today?
spam,"Earn 1,00,000 per day working from home. Register at http://bit.ly/win-now"
spam,"Your KYC has expired. Update immediately at 50,000"
spam,"URGENT! Your bank account will be blocked. Verify now at 10,000"
ham,Lunch at canteen at 2?
spam,"You are selected for our lucky draw. Amount: 10,000. Contact: http://click-free-prize.com"
spam,"Recharge now and get 5GB free data. Limited offer: 5,000"
ham,Send me the PPT for today's seminar.
spam,"Exclusive offer! Get flat 80% discount: 10,000"
spam,"Your ATM card is blocked. Update details here: 5,000"
ham,Meeting is at 3 in room 201.
ham,Don't forget our class at 11 tomorrow.
spam,"Claim your cashback of 1,00,000 rupees. Link: http://click-free-prize.com"
ham,Are you coming to college today?
spam,"Congratulations! You have won 50,000 rupees. Click here: http://gift-claim-center.net"
spam,"You are selected for our lucky draw. Amount: 50,000. Contact: http://kyc-update-online.in"
spam,"Recharge now and get 5GB free data. Limited offer: 5,000"
ham,I sent you the notes. Check WhatsApp.
spam,"Recharge now and get 5GB free data. Limited offer: 10,000"
spam,"FREE gift voucher worth 50,000. Reply YES to claim."
ham,"I'm on the way, will reach in 7 minutes."
ham,Meeting is at 6 in room 305.
spam,"Claim your cashback of 50,000 rupees. Link: http://gift-claim-center.net"
spam,"Your KYC has expired. Update immediately at 5,000"
ham,Did you submit the assignment?
ham,Where are you now?
spam,"Earn 50,000 per day working from home. Register at http://kyc-update-online.in"
spam,"URGENT! Your bank account will be blocked. Verify now at 5,000"
ham,Don't forget our class at 8 tomorrow.
ham,Call me when you're free.
ham,Call me when you're free.
spam,"Claim your cashback of 1,00,000 rupees. Link: http://kyc-update-online.in"
spam,"Win a brand new smartphone! Register here: 10,000"
spam,"Your parcel is stuck. Pay delivery fee here: 5,000"
ham,I'll call you in 8 minutes.
spam,"URGENT! Your bank account will be blocked. Verify now at 10,000"
spam,"Claim your cashback of 10,000 rupees. Link: http://gift-claim-center.net"
spam,"Get 1 year FREE Netflix. Activate here: 5,000"
ham,Happy birthday! Have a great day 🎉
spam,"Your parcel is stuck. Pay delivery fee here: 10,000"
spam,"Your ATM card is blocked. Update details here: 10,000"
spam,"Your electricity bill is pending. Pay now: 50,000"
spam,"You are selected for our lucky draw. Amount: 1,00,000. Contact: http://click-free-prize.com"
ham,Don't forget our class at 8 tomorrow.
spam,"Instant loan up to 10,000. No documents needed. Apply now: http://offer-today.xyz"
ham,Where are you now?
ham,"Hey, I'll reach by 7 PM. Wait near hostel."
ham,Are you coming to college today?
ham,Did you submit the assignment?
ham,I'll call you in 8 minutes.
spam,"Get 1 year FREE Netflix. Activate here: 5,000"
spam,"You are selected for our lucky draw. Amount: 50,000. Contact: http://secure-verify.net"
spam,"Instant loan up to 50,000. No documents needed. Apply now: http://offer-today.xyz"
ham,I sent you the notes. Check WhatsApp.
spam,"Your electricity bill is pending. Pay now: 5,000"
spam,"You are selected for our lucky draw. Amount: 1,00,000. Contact: http://secure-verify.net"
spam,"Instant loan up to 50,000. No documents needed. Apply now: http://click-free-prize.com"
spam,"Get 1 year FREE Netflix. Activate here: 10,000"
spam,"Congratulations! You have won 1,00,000 rupees. Click here: http://offer-today.xyz"
ham,"I'm on the way, will reach in 7 minutes."
spam,"Claim your cashback of 10,000 rupees. Link: http://gift-claim-center.net"
ham,"Hey, I'll reach by 8 PM. Wait near hostel."
spam,"Get 1 year FREE Netflix. Activate here: 5,000"
ham,Meeting is at 10 in room 201.
spam,"Congratulations! You have won 1,00,000 rupees. Click here: http://kyc-update-online.in"
spam,"Your ATM card is blocked. Update details here: 50,000"
ham,I sent you the notes. Check WhatsApp.
ham,Can you share today's attendance code?
ham,Send me the PPT for today's seminar.
spam,"Your parcel is stuck. Pay delivery fee here: 50,000"
spam,"Get 1 year FREE Netflix. Activate here: 50,000"
spam,"URGENT! Your bank account will be blocked. Verify now at 50,000"
spam,"Instant loan up to 10,000. No documents needed. Apply now: http://bit.ly/win-now"
ham,Can you share today's attendance code?
spam,"Win a brand new smartphone! Register here: 50,000"
spam,"Instant loan up to 50,000. No documents needed. Apply now: http://click-free-prize.com"
spam,"Your ATM card is blocked. Update details here: 50,000"
spam,"Your KYC has expired. Update immediately at 5,000"
ham,"Bro, what time is the lab tomorrow?"
spam,"Your electricity bill is pending. Pay now: 10,000"
ham,Can you share today's attendance code?
ham,Did you submit the assignment?
spam,"Earn 1,00,000 per day working from home. Register at http://secure-verify.net"
spam,"Your KYC has expired. Update immediately at 50,000"
spam,"Earn 10,000 per day working from home. Register at http://offer-today.xyz"
ham,Where are you now?
spam,"Instant loan up to 10,000. No documents needed. Apply now: http://gift-claim-center.net"
ham,Send me the PPT for today's seminar.
spam,"Your ATM card is blocked. Update details here: 5,000"
ham,Where are you now?
ham,I sent you the notes. Check WhatsApp.
ham,I'll call you in 4 minutes.
ham,Don't forget our class at 5 tomorrow.
spam,"Your KYC has expired. Update immediately at 50,000"
spam,"Earn 50,000 per day working from home. Register at http://offer-today.xyz"
ham,"I'm on the way, will reach in 1 minutes."
spam,"URGENT! Your bank account will be blocked. Verify now at 50,000"
ham,Lunch at canteen at 12?
ham,"I'm on the way, will reach in 8 minutes."
spam,"Congratulations! You have won 50,000 rupees. Click here: http://click-free-prize.com"
spam,"Your electricity bill is pending. Pay now: 50,000"
spam,"Claim your cashback of 50,000 rupees. Link: http://secure-verify.net"
spam,"Claim your cashback of 10,000 rupees. Link: http://gift-claim-center.net"
ham,Did you submit the assignment?
ham,"I'm on the way, will reach in 4 minutes."
ham,Lunch at canteen at 9?
spam,"Your parcel is stuck. Pay delivery fee here: 50,000"
